Pollster,Date,Polled,Model,R,D,Gap,538 Grade,Mean-Reverted Bias,Grade,Adjusted R,Adjusted D,Adjusted Gap
Rasmussen Reports/Pulse Opinion Research, 7/13/2014,3500,LV,38,39,-1,C+,-1.49,2.3,37.26,39.74,-2.49
Quinnipiac University, 6/30/2014,1446,RV,39,41,-2,A-,0.07,3.7,39.03,40.97,-1.93
Rasmussen Reports/Pulse Opinion Research, 7/6/2014,3500,LV,38,41,-3,C+,-1.49,2.3,37.26,41.74,-4.49
Rasmussen Reports/Pulse Opinion Research, 6/29/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/23/2014,1018,RV,42,42,0,A,0.61,4,42.31,41.69,0.61
Rasmussen Reports/Pulse Opinion Research, 6/22/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 6/15/2014,3500,LV,37,39,-2,C+,-1.49,2.3,36.26,39.74,-3.49
Bloomberg, 6/9/2014,763,LV,43,43,0,C,0,2,43,43,0
Rasmussen Reports/Pulse Opinion Research, 6/8/2014,3500,LV,37,41,-4,C+,-1.49,2.3,36.26,41.74,-5.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/3/2014,1006,RV,43,39,4,A,0.61,4,43.31,38.69,4.61
Rasmussen Reports/Pulse Opinion Research, 6/1/2014,3500,LV,38,41,-3,C+,-1.49,2.3,37.26,41.74,-4.49
Rasmussen Reports/Pulse Opinion Research, 5/25/2014,3500,LV,38,42,-4,C+,-1.49,2.3,37.26,42.74,-5.49
Rasmussen Reports/Pulse Opinion Research, 5/18/2014,3500,LV,37,41,-4,C+,-1.49,2.3,36.26,41.74,-5.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 5/13/2014,1025,RV,40,43,-3,A,0.61,4,40.31,42.69,-2.39
Rasmussen Reports/Pulse Opinion Research, 5/11/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
CNN/Opinion Research Corp., 5/4/2014,911,RV,46,45,1,B+,0.06,3.3,46.03,44.97,1.06
Rasmussen Reports/Pulse Opinion Research, 5/4/2014,3500,LV,37,41,-4,C+,-1.49,2.3,36.26,41.74,-5.49
ABC News/Washington Post, 4/27/2014,855,RV,44,45,-1,A+,0.61,4,44.31,44.69,-0.39
Pew Research Center, 4/27/2014,1162,RV,47,43,4,B-,0.63,2.7,47.31,42.69,4.63
Rasmussen Reports/Pulse Opinion Research, 4/27/2014,3500,LV,40,38,2,C+,-1.49,2.3,39.26,38.74,0.51
Rasmussen Reports/Pulse Opinion Research, 4/20/2014,3500,LV,41,40,1,C+,-1.49,2.3,40.26,40.74,-0.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 4/15/2014,1012,RV,44,41,3,A,0.61,4,44.31,40.69,3.61
Rasmussen Reports/Pulse Opinion Research, 4/13/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Marist College, 4/10/2014,1036,RV,42,48,-6,A,-0.46,4,41.77,48.23,-6.46
Rasmussen Reports/Pulse Opinion Research, 4/6/2014,3500,LV,39,40,-1,C+,-1.49,2.3,38.26,40.74,-2.49
Quinnipiac University, 3/31/2014,1578,RV,38,40,-2,A-,0.07,3.7,38.03,39.97,-1.93
Reason-Rupe/PSRAI, 3/30/2014,1003,A,36,40,-4,C,0,2,36,40,-4
Rasmussen Reports/Pulse Opinion Research, 3/30/2014,3500,LV,38,39,-1,C+,-1.49,2.3,37.26,39.74,-2.49
NPR, 3/23/2014,840,LV,43,44,-1,B-,0.09,2.7,43.04,43.96,-0.91
George Washington University (Battleground), 3/20/2014,1000,LV,43,43,0,B,-0.98,3,42.51,43.49,-0.98
Rasmussen Reports/Pulse Opinion Research, 3/23/2014,3500,LV,37,41,-4,C+,-1.49,2.3,36.26,41.74,-5.49
Rasmussen Reports/Pulse Opinion Research, 3/16/2014,3500,LV,39,38,1,C+,-1.49,2.3,38.26,38.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 3/9/2014,3500,LV,39,39,0,C+,-1.49,2.3,38.26,39.74,-1.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 3/4/2014,1002,RV,38,40,-2,A,0.61,4,38.31,39.69,-1.39
Rasmussen Reports/Pulse Opinion Research, 3/2/2014,3500,LV,36,39,-3,C+,-1.49,2.3,35.26,39.74,-4.49
Rasmussen Reports/Pulse Opinion Research, 2/23/2014,3500,LV,37,41,-4,C+,-1.49,2.3,36.26,41.74,-5.49
Rasmussen Reports/Pulse Opinion Research, 2/16/2014,3500,LV,37,41,-4,C+,-1.49,2.3,36.26,41.74,-5.49
Marist College, 2/9/2014,970,RV,44,46,-2,A,-0.46,4,43.77,46.23,-2.46
Rasmussen Reports/Pulse Opinion Research, 2/9/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 2/2/2014,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 1/26/2014,3500,LV,37,42,-5,C+,-1.49,2.3,36.26,42.74,-6.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 1/21/2014,1010,RV,43,41,2,A,0.61,4,43.31,40.69,2.61
Quinnipiac University, 1/19/2014,1933,RV,38,37,1,A-,0.07,3.7,38.03,36.97,1.07
George Washington University (Battleground), 1/16/2014,1000,LV,43,41,2,B,-0.98,3,42.51,41.49,1.02
Rasmussen Reports/Pulse Opinion Research, 1/19/2014,3500,LV,35,41,-6,C+,-1.49,2.3,34.26,41.74,-7.49
Rasmussen Reports/Pulse Opinion Research, 1/12/2014,3500,LV,37,41,-4,C+,-1.49,2.3,36.26,41.74,-5.49
Quinnipiac University, 1/7/2014,1487,RV,38,37,1,A-,0.07,3.7,38.03,36.97,1.07
Rasmussen Reports/Pulse Opinion Research, 1/5/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 12/29/2014,3500,LV,40,40,0,C+,-1.49,2.3,39.26,40.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 12/22/2014,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
CNN/Opinion Research Corp., 12/19/2014,950,RV,49,44,5,B+,0.06,3.3,49.03,43.97,5.06
Fox News/Anderson Robbins Research/Shaw & Co. Research, 12/16/2014,1027,RV,43,43,0,A,0.61,4,43.31,42.69,0.61
Rasmussen Reports/Pulse Opinion Research, 12/15/2014,3500,LV,40,40,0,C+,-1.49,2.3,39.26,40.74,-1.49
Quinnipiac University, 12/9/2014,2692,RV,41,38,3,A-,0.07,3.7,41.03,37.97,3.07
Pew Research Center, 12/8/2014,1579,RV,44,48,-4,B-,0.63,2.7,44.31,47.69,-3.37
Rasmussen Reports/Pulse Opinion Research, 12/8/2014,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Marist College, 12/5/2014,988,RV,43,43,0,A,-0.46,4,42.77,43.23,-0.46
Rasmussen Reports/Pulse Opinion Research, 12/1/2014,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
CNN/Opinion Research Corp., 11/20/2014,749,RV,49,47,2,B+,0.06,3.3,49.03,46.97,2.06
Rasmussen Reports/Pulse Opinion Research, 11/24/2014,3500,LV,40,41,-1,C+,-1.49,2.3,39.26,41.74,-2.49
Rasmussen Reports/Pulse Opinion Research, 11/17/2014,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 11/12/2014,1006,RV,43,40,3,A,0.61,4,43.31,39.69,3.61
Quinnipiac University, 11/11/2014,2545,RV,39,39,0,A-,0.07,3.7,39.03,38.97,0.07
Rasmussen Reports/Pulse Opinion Research, 11/10/2014,3500,LV,39,41,-2,C+,-1.49,2.3,38.26,41.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 11/3/2014,3500,LV,37,43,-6,C+,-1.49,2.3,36.26,43.74,-7.49
George Washington University (Battleground), 10/31/2014,1000,LV,41,44,-3,B,-0.98,3,40.51,44.49,-3.98
Rasmussen Reports/Pulse Opinion Research, 10/27/2014,3500,LV,37,43,-6,C+,-1.49,2.3,36.26,43.74,-7.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/22/2014,1020,RV,37,45,-8,A,0.61,4,37.31,44.69,-7.39
Rasmussen Reports/Pulse Opinion Research, 10/20/2014,3500,LV,36,43,-7,C+,-1.49,2.3,35.26,43.74,-8.49
Pew Research Center, 10/13/2014,1259,RV,43,49,-6,B-,0.63,2.7,43.31,48.69,-5.37
Rasmussen Reports/Pulse Opinion Research, 10/13/2014,3500,LV,38,45,-7,C+,-1.49,2.3,37.26,45.74,-8.49
Rasmussen Reports/Pulse Opinion Research, 10/6/2014,3500,LV,40,40,0,C+,-1.49,2.3,39.26,40.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 9/29/2014,3500,LV,38,42,-4,C+,-1.49,2.3,37.26,42.74,-5.49
Quinnipiac University, 9/29/2014,1497,RV,34,43,-9,A-,0.07,3.7,34.03,42.97,-8.93
Rasmussen Reports/Pulse Opinion Research, 9/22/2014,3500,LV,37,40,-3,C+,-1.49,2.3,36.26,40.74,-4.49
Rasmussen Reports/Pulse Opinion Research, 9/15/2014,3500,LV,38,38,0,C+,-1.49,2.3,37.26,38.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 9/8/2014,3500,LV,39,39,0,C+,-1.49,2.3,38.26,39.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 9/1/2014,3500,LV,37,39,-2,C+,-1.49,2.3,36.26,39.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 8/25/2014,3500,LV,39,38,1,C+,-1.49,2.3,38.26,38.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 8/18/2014,3500,LV,38,38,0,C+,-1.49,2.3,37.26,38.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 8/11/2014,3500,LV,39,39,0,C+,-1.49,2.3,38.26,39.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 8/4/2014,3500,LV,41,38,3,C+,-1.49,2.3,40.26,38.74,1.51
Quinnipiac University, 7/31/2014,1468,RV,36,40,-4,A-,0.07,3.7,36.03,39.97,-3.93
Rasmussen Reports/Pulse Opinion Research, 7/28/2014,3500,LV,38,39,-1,C+,-1.49,2.3,37.26,39.74,-2.49
Rasmussen Reports/Pulse Opinion Research, 7/21/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 7/14/2014,3500,LV,39,38,1,C+,-1.49,2.3,38.26,38.74,-0.49
Quinnipiac University, 7/8/2014,2014,RV,34,39,-5,A-,0.07,3.7,34.03,38.97,-4.93
Rasmussen Reports/Pulse Opinion Research, 7/7/2014,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 6/30/2014,3500,LV,39,38,1,C+,-1.49,2.3,38.26,38.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 6/23/2014,3500,LV,39,40,-1,C+,-1.49,2.3,38.26,40.74,-2.49
Rasmussen Reports/Pulse Opinion Research, 6/16/2014,3500,LV,39,39,0,C+,-1.49,2.3,38.26,39.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 6/9/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 6/2/2014,3500,LV,40,40,0,C+,-1.49,2.3,39.26,40.74,-1.49
Quinnipiac University, 5/28/2014,1419,RV,38,38,0,A-,0.07,3.7,38.03,37.97,0.07
Rasmussen Reports/Pulse Opinion Research, 5/26/2014,3500,LV,39,41,-2,C+,-1.49,2.3,38.26,41.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 5/19/2014,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 5/11/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 5/5/2014,3500,LV,38,40,-2,C+,-1.49,2.3,37.26,40.74,-3.49
Quinnipiac University, 4/29/2014,1471,RV,37,41,-4,A-,0.07,3.7,37.03,40.97,-3.93
Rasmussen Reports/Pulse Opinion Research, 4/28/2014,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 4/21/2014,3500,LV,39,41,-2,C+,-1.49,2.3,38.26,41.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 4/14/2014,3500,LV,38,42,-4,C+,-1.49,2.3,37.26,42.74,-5.49
Rasmussen Reports/Pulse Opinion Research, 4/7/2014,3500,LV,38,41,-3,C+,-1.49,2.3,37.26,41.74,-4.49
Quinnipiac University, 4/1/2014,1711,RV,35,43,-8,A-,0.07,3.7,35.03,42.97,-7.93
Rasmussen Reports/Pulse Opinion Research, 3/31/2014,3500,LV,37,44,-7,C+,-1.49,2.3,36.26,44.74,-8.49
Rasmussen Reports/Pulse Opinion Research, 3/24/2014,3500,LV,38,43,-5,C+,-1.49,2.3,37.26,43.74,-6.49
Rasmussen Reports/Pulse Opinion Research, 3/17/2014,3500,LV,38,43,-5,C+,-1.49,2.3,37.26,43.74,-6.49
Rasmussen Reports/Pulse Opinion Research, 3/10/2014,3500,LV,40,43,-3,C+,-1.49,2.3,39.26,43.74,-4.49
Rasmussen Reports/Pulse Opinion Research, 3/3/2014,3500,LV,40,43,-3,C+,-1.49,2.3,39.26,43.74,-4.49
Rasmussen Reports/Pulse Opinion Research, 2/24/2014,3500,LV,38,43,-5,C+,-1.49,2.3,37.26,43.74,-6.49
Rasmussen Reports/Pulse Opinion Research, 2/17/2014,3500,LV,37,43,-6,C+,-1.49,2.3,36.26,43.74,-7.49
Rasmussen Reports/Pulse Opinion Research, 2/10/2014,3500,LV,39,42,-3,C+,-1.49,2.3,38.26,42.74,-4.49
Rasmussen Reports/Pulse Opinion Research, 2/3/2014,3000,LV,38,44,-6,C+,-1.49,2.3,37.26,44.74,-7.49
Rasmussen Reports/Pulse Opinion Research, 1/27/2014,3000,LV,37,45,-8,C+,-1.49,2.3,36.26,45.74,-9.49
Rasmussen Reports/Pulse Opinion Research, 1/20/2014,3000,LV,39,44,-5,C+,-1.49,2.3,38.26,44.74,-6.49
Rasmussen Reports/Pulse Opinion Research, 1/13/2014,3000,LV,37,43,-6,C+,-1.49,2.3,36.26,43.74,-7.49
Rasmussen Reports/Pulse Opinion Research, 1/6/2014,3000,LV,38,44,-6,C+,-1.49,2.3,37.26,44.74,-7.49
Rasmussen Reports/Pulse Opinion Research, 12/30/2014,3000,LV,35,46,-11,C+,-1.49,2.3,34.26,46.74,-12.49
Rasmussen Reports/Pulse Opinion Research, 12/22/2014,3500,LV,38,44,-6,C+,-1.49,2.3,37.26,44.74,-7.49
Rasmussen Reports/Pulse Opinion Research, 12/16/2014,3500,LV,38,46,-8,C+,-1.49,2.3,37.26,46.74,-9.49
Rasmussen Reports/Pulse Opinion Research, 12/9/2014,3500,LV,36,46,-10,C+,-1.49,2.3,35.26,46.74,-11.49
George Washington University (Battleground), 12/6/2014,1000,LV,42,45,-3,B,-0.98,3,41.51,45.49,-3.98
Rasmussen Reports/Pulse Opinion Research, 12/2/2014,3500,LV,36,47,-11,C+,-1.49,2.3,35.26,47.74,-12.49
Rasmussen Reports/Pulse Opinion Research, 11/25/2014,3500,LV,40,45,-5,C+,-1.49,2.3,39.26,45.74,-6.49
Rasmussen Reports/Pulse Opinion Research, 11/18/2014,3500,LV,40,45,-5,C+,-1.49,2.3,39.26,45.74,-6.49
Rasmussen Reports/Pulse Opinion Research, 11/11/2014,3500,LV,42,45,-3,C+,-1.49,2.3,41.26,45.74,-4.49
Bloomberg, 11/6/2016,799,LV,48,45,3,C,0,2,48,45,3
YouGov, 11/7/2016,3677,LV,42,45,-3,B,0.26,3,42.13,44.87,-2.74
Fox News/Anderson Robbins Research/Shaw & Co. Research, 11/6/2016,1295,LV,46,45,1,A,0.61,4,46.31,44.69,1.61
NBC News/Wall Street Journal, 11/5/2016,1282,LV,44,47,-3,A-,0.81,3.7,44.4,46.6,-2.19
Marist College, 11/3/2016,940,LV,47,48,-1,A,-0.46,4,46.77,48.23,-1.46
YouGov, 11/1/2016,1228,LV,41,46,-5,B,0.26,3,41.13,45.87,-4.74
Ipsos, 11/2/2016,1858,LV,41,42,-1,B+,0.6,3.3,41.3,41.7,-0.4
CBS News/New York Times, 11/1/2016,1333,RV,46,49,-3,A-,0.44,3.7,46.22,48.78,-2.56
YouGov, 10/26/2016,1209,LV,40,45,-5,B,0.26,3,40.13,44.87,-4.74
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/25/2016,1221,LV,45,47,-2,A,0.61,4,45.31,46.69,-1.39
ABC News/Washington Post, 10/24/2016,828,LV,46,47,-1,A+,0.61,4,46.31,46.69,-0.39
GfK Group, 10/24/2016,1212,LV,41,46,-5,B,0.25,3,41.13,45.87,-4.75
CNN/Opinion Research Corp., 10/23/2016,779,LV,47,50,-3,B+,0.06,3.3,47.03,49.97,-2.94
Ipsos, 10/24/2016,1170,LV,39,44,-5,B+,0.6,3.3,39.3,43.7,-4.4
YouGov, 10/18/2016,925,RV,38,43,-5,B,0.26,3,38.13,42.87,-4.74
Bloomberg, 10/17/2016,1006,LV,43,47,-4,C,0,2,43,47,-4
Ipsos, 10/17/2016,1190,LV,39,43,-4,B+,0.6,3.3,39.3,42.7,-3.4
CBS News/New York Times, 10/16/2016,1189,LV,45,50,-5,A-,0.44,3.7,45.22,49.78,-4.56
NBC News/Wall Street Journal, 10/13/2016,905,LV,44,47,-3,A-,0.81,3.7,44.4,46.6,-2.19
ABC News/Washington Post, 10/13/2016,740,LV,44,47,-3,A+,0.61,4,44.31,46.69,-2.39
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/12/2016,917,LV,42,48,-6,A,0.61,4,42.31,47.69,-5.39
George Washington University (Battleground), 10/13/2016,1000,LV,42,47,-5,B,-0.98,3,41.51,47.49,-5.98
NBC News/Wall Street Journal, 10/10/2016,900,RV,42,48,-6,A-,0.81,3.7,42.4,47.6,-5.19
Ipsos, 10/10/2016,2363,A,36,46,-10,B+,0.6,3.3,36.3,45.7,-9.4
NBC News/Wall Street Journal, 10/9/2016,500,RV,42,49,-7,A-,0.81,3.7,42.4,48.6,-6.19
YouGov, 10/8/2016,971,RV,39,42,-3,B,0.26,3,39.13,41.87,-2.74
YouGov, 10/3/2016,911,RV,37,43,-6,B,0.26,3,37.13,42.87,-5.74
Ipsos, 10/3/2016,1669,RV,38,42,-4,B+,0.6,3.3,38.3,41.7,-3.4
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/29/2016,911,LV,43,44,-1,A,0.61,4,43.31,43.69,-0.39
Ipsos, 9/26/2016,1041,LV,36,42,-6,B+,0.6,3.3,36.3,41.7,-5.4
Bloomberg, 9/24/2016,1002,LV,44,46,-2,C,0,2,44,46,-2
YouGov, 9/24/2016,948,RV,38,43,-5,B,0.26,3,38.13,42.87,-4.74
NBC News/Wall Street Journal, 9/19/2016,1000,RV,45,48,-3,A-,0.81,3.7,45.4,47.6,-2.19
Marist College, 9/20/2016,758,LV,45,49,-4,A,-0.46,4,44.77,49.23,-4.46
YouGov, 9/19/2016,936,RV,36,43,-7,B,0.26,3,36.13,42.87,-6.74
Ipsos, 9/19/2016,1111,LV,40,39,1,B+,0.6,3.3,40.3,38.7,1.6
YouGov, 9/13/2016,926,RV,38,44,-6,B,0.26,3,38.13,43.87,-5.74
Ipsos, 9/12/2016,1752,A,38,40,-2,B+,0.6,3.3,38.3,39.7,-1.4
YouGov, 9/6/2016,955,RV,38,41,-3,B,0.26,3,38.13,40.87,-2.74
Ipsos, 9/5/2016,1084,LV,39,40,-1,B+,0.6,3.3,39.3,39.7,-0.4
CNN/Opinion Research Corp., 9/4/2016,786,LV,49,47,2,B+,0.06,3.3,49.03,46.97,2.06
George Washington University (Battleground), 9/1/2016,1000,LV,43,45,-2,B,-0.98,3,42.51,45.49,-2.98
Marist College, 8/3/2016,983,RV,41,49,-8,A,-0.46,4,40.77,49.23,-8.46
NBC News/Wall Street Journal, 8/3/2016,800,RV,43,47,-4,A-,0.81,3.7,43.4,46.6,-3.19
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/28/2016,1017,RV,41,46,-5,A,0.61,4,41.31,45.69,-4.39
NBC News/Wall Street Journal, 6/23/2016,1000,RV,46,46,0,A-,0.81,3.7,46.4,45.6,0.81
NBC News/Wall Street Journal, 5/19/2016,1000,RV,44,48,-4,A-,0.81,3.7,44.4,47.6,-3.19
ABC News/Washington Post, 5/19/2016,829,RV,45,45,0,A+,0.61,4,45.31,44.69,0.61
George Washington University (Battleground), 4/20/2016,1000,LV,41,46,-5,B,-0.98,3,40.51,46.49,-5.98
NBC News/Wall Street Journal, 4/14/2016,1000,RV,45,47,-2,A-,0.81,3.7,45.4,46.6,-1.19
NBC News/Wall Street Journal, 10/29/2016,847,RV,45,45,0,A-,0.81,3.7,45.4,44.6,0.81
Quinnipiac University, 7/28/2016,1644,RV,39,37,2,A-,0.07,3.7,39.03,36.97,2.07
Quinnipiac University, 5/26/2016,1711,RV,36,39,-3,A-,0.07,3.7,36.03,38.97,-2.93
Rasmussen Reports/Pulse Opinion Research, 5/14/2016,2500,LV,38,38,0,C+,-1.49,2.3,37.26,38.74,-1.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/19/2018,818,LV,42,49,-7,A,0.61,4,42.31,48.69,-6.39
NBC News/Wall Street Journal, 9/19/2018,594,LV,43,51,-8,A-,0.81,3.7,43.4,50.6,-7.19
YouGov, 9/18/2018,1195,RV,41,45,-4,B,0.26,3,41.13,44.87,-3.74
Ipsos, 9/18/2018,1304,LV,41,48,-7,B+,0.6,3.3,41.3,47.7,-6.4
Rasmussen Reports/Pulse Opinion Research, 9/13/2018,2500,LV,42,47,-5,C+,-1.49,2.3,41.26,47.74,-6.49
YouGov, 9/11/2018,1220,RV,41,44,-3,B,0.26,3,41.13,43.87,-2.74
Ipsos, 9/11/2018,1226,LV,41,49,-8,B+,0.6,3.3,41.3,48.7,-7.4
Quinnipiac University, 9/9/2018,1038,RV,38,52,-14,A-,0.07,3.7,38.03,51.97,-13.93
CNN/Opinion Research Corp., 9/9/2018,775,LV,42,52,-10,B+,0.06,3.3,42.03,51.97,-9.94
Marist College, 9/9/2018,777,RV,38,50,-12,A,-0.46,4,37.77,50.23,-12.46
Rasmussen Reports/Pulse Opinion Research, 9/6/2018,2500,LV,42,46,-4,C+,-1.49,2.3,41.26,46.74,-5.49
YouGov, 9/4/2018,1254,RV,40,45,-5,B,0.26,3,40.13,44.87,-4.74
Ipsos, 9/4/2018,2012,RV,35,44,-9,B+,0.6,3.3,35.3,43.7,-8.4
Selzer & Co., 9/2/2018,779,LV,43,45,-2,A+,0,4,43,45,-2
Emerson College, 8/31/2018,1000,RV,39,52,-13,B+,0.11,3.3,39.05,51.95,-12.89
Rasmussen Reports/Pulse Opinion Research, 8/30/2018,2500,LV,42,46,-4,C+,-1.49,2.3,41.26,46.74,-5.49
ABC News/Washington Post, 8/29/2018,879,RV,38,52,-14,A+,0.61,4,38.31,51.69,-13.39
YouGov, 8/28/2018,1249,RV,39,45,-6,B,0.26,3,39.13,44.87,-5.74
Suffolk University, 8/28/2018,1000,RV,39,50,-11,B+,0.6,3.3,39.3,49.7,-10.4
IBD/TIPP, 8/30/2018,857,RV,39,50,-11,A-,-0.78,3.7,38.61,50.39,-11.78
Ipsos, 8/28/2018,2920,RV,34,47,-13,B+,0.6,3.3,34.3,46.7,-12.4
Harris Interactive, 8/23/2018,1330,RV,37,45,-8,C+,-1.52,2.3,36.24,45.76,-9.52
Rasmussen Reports/Pulse Opinion Research, 8/23/2018,2500,LV,41,46,-5,C+,-1.49,2.3,40.26,46.74,-6.49
NBC News/Wall Street Journal, 8/22/2018,900,RV,42,50,-8,A-,0.81,3.7,42.4,49.6,-7.19
YouGov, 8/21/2018,1247,RV,38,44,-6,B,0.26,3,38.13,43.87,-5.74
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/21/2018,1009,RV,38,49,-11,A,0.61,4,38.31,48.69,-10.39
Ipsos, 8/21/2018,1885,RV,37,41,-4,B+,0.6,3.3,37.3,40.7,-3.4
Monmouth University, 8/19/2018,725,RV,43,48,-5,A+,1.43,4,43.71,47.29,-3.57
Rasmussen Reports/Pulse Opinion Research, 8/16/2018,2500,LV,44,44,0,C+,-1.49,2.3,43.26,44.74,-1.49
YouGov, 8/14/2018,1250,RV,40,44,-4,B,0.26,3,40.13,43.87,-3.74
Ipsos, 8/14/2018,1860,RV,36,45,-9,B+,0.6,3.3,36.3,44.7,-8.4
Quinnipiac University, 8/13/2018,1175,RV,42,51,-9,A-,0.07,3.7,42.03,50.97,-8.93
CNN/Opinion Research Corp., 8/12/2018,921,RV,41,52,-11,B+,0.06,3.3,41.03,51.97,-10.94
Pew Research Center, 8/12/2018,3986,RV,39,46,-7,B-,0.63,2.7,39.31,45.69,-6.37
Rasmussen Reports/Pulse Opinion Research, 8/9/2018,2500,LV,41,48,-7,C+,-1.49,2.3,40.26,48.74,-8.49
YouGov, 8/7/2018,1289,RV,41,44,-3,B,0.26,3,41.13,43.87,-2.74
Ipsos, 8/7/2018,1479,RV,39,41,-2,B+,0.6,3.3,39.3,40.7,-1.4
Rasmussen Reports/Pulse Opinion Research, 8/2/2018,2500,LV,41,45,-4,C+,-1.49,2.3,40.26,45.74,-5.49
IBD/TIPP, 8/2/2018,878,RV,45,45,0,A-,-0.78,3.7,44.61,45.39,-0.78
YouGov, 7/31/2018,1222,RV,40,44,-4,B,0.26,3,40.13,43.87,-3.74
Ipsos, 7/31/2018,1571,RV,36,42,-6,B+,0.6,3.3,36.3,41.7,-5.4
Rasmussen Reports/Pulse Opinion Research, 7/26/2018,2500,LV,40,46,-6,C+,-1.49,2.3,39.26,46.74,-7.49
Harris Interactive, 7/25/2018,1323,RV,36,43,-7,C+,-1.52,2.3,35.24,43.76,-8.52
YouGov, 7/24/2018,1203,RV,38,44,-6,B,0.26,3,38.13,43.87,-5.74
Ipsos, 7/24/2018,1165,RV,37,42,-5,B+,0.6,3.3,37.3,41.7,-4.4
Marist College, 7/22/2018,923,RV,40,47,-7,A,-0.46,4,39.77,47.23,-7.46
Quinnipiac University, 7/23/2018,1177,RV,39,51,-12,A-,0.07,3.7,39.03,50.97,-11.93
Rasmussen Reports/Pulse Opinion Research, 7/19/2018,2500,LV,40,47,-7,C+,-1.49,2.3,39.26,47.74,-8.49
NBC News/Wall Street Journal, 7/18/2018,900,RV,43,49,-6,A-,0.81,3.7,43.4,48.6,-5.19
YouGov, 7/17/2018,1272,RV,37,45,-8,B,0.26,3,37.13,44.87,-7.74
Rasmussen Reports/Pulse Opinion Research, 7/12/2018,2500,LV,41,46,-5,C+,-1.49,2.3,40.26,46.74,-6.49
Ipsos, 7/17/2018,2357,RV,35,44,-9,B+,0.6,3.3,35.3,43.7,-8.4
Fox News/Anderson Robbins Research/Shaw & Co. Research, 7/11/2018,1007,RV,40,48,-8,A,0.61,4,40.31,47.69,-7.39
YouGov, 7/10/2018,1246,RV,38,42,-4,B,0.26,3,38.13,41.87,-3.74
Ipsos, 7/10/2018,1295,RV,34,47,-13,B+,0.6,3.3,34.3,46.7,-12.4
Emerson College, 7/7/2018,900,RV,42,49,-7,B+,0.11,3.3,42.05,48.95,-6.89
