Pollster,Date,Approve,Disapprove,Gap,President,538 Grade,Mean-Reverted Bias,Grade,Adjusted Approve,Adjusted Disapprove,Adjusted Gap
Ipsos, 9/23/2014,37,56,-19,Obama,B+,0.5955,3.3,36.70225,56.29775,-19.5955
YouGov, 9/22/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
CBS News/New York Times, 9/15/2014,40,50,-10,Obama,A-,0.43547945,3.7,39.78226028,50.21773973,-10.43547945
YouGov, 9/15/2014,42,55,-13,Obama,B,0.26403361,3,41.8679832,55.13201681,-13.26403361
Ipsos, 9/14/2014,38,56,-18,Obama,B+,0.5955,3.3,37.70225,56.29775,-18.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/9/2014,38,57,-19,Obama,A,0.61413043,4,37.69293479,57.30706522,-19.61413043
YouGov, 9/8/2014,40,58,-18,Obama,B,0.26403361,3,39.8679832,58.13201681,-18.26403361
CNN/Opinion Research Corp., 9/7/2014,43,55,-12,Obama,B+,0.0607,3.3,42.96965,55.03035,-12.0607
ABC News/Washington Post, 9/7/2014,42,54,-12,Obama,A+,0.61341176,4,41.69329412,54.30670588,-12.61341176
Pew Research Center, 9/9/2014,42,50,-8,Obama,B-,0.62980392,2.7,41.68509804,50.31490196,-8.62980392
Ipsos, 9/7/2014,39,53,-14,Obama,B+,0.5955,3.3,38.70225,53.29775,-14.5955
NBC News/Wall Street Journal, 9/7/2014,40,54,-14,Obama,A-,0.80923077,3.7,39.59538462,54.40461539,-14.80923077
Ipsos, 9/3/2014,38,56,-18,Obama,B+,0.5955,3.3,37.70225,56.29775,-18.5955
YouGov, 9/1/2014,41,56,-15,Obama,B,0.26403361,3,40.8679832,56.13201681,-15.26403361
George Washington University (Battleground), 8/28/2014,44,51,-7,Obama,B,-0.97508197,3,44.48754099,50.51245902,-6.02491803
YouGov, 8/25/2014,43,56,-13,Obama,B,0.26403361,3,42.8679832,56.13201681,-13.26403361
Ipsos, 8/24/2014,38,54,-16,Obama,B+,0.5955,3.3,37.70225,54.29775,-16.5955
Pew Research Center, 8/24/2014,42,50,-8,Obama,B-,0.62980392,2.7,41.68509804,50.31490196,-8.62980392
YouGov, 8/18/2014,44,52,-8,Obama,B,0.26403361,3,43.8679832,52.13201681,-8.26403361
Ipsos, 8/17/2014,39,55,-16,Obama,B+,0.5955,3.3,38.70225,55.29775,-16.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/12/2014,42,49,-7,Obama,A,0.61413043,4,41.69293479,49.30706522,-7.61413043
YouGov, 8/11/2014,43,53,-10,Obama,B,0.26403361,3,42.8679832,53.13201681,-10.26403361
Reason-Rupe/PSRAI, 8/10/2014,43,52,-9,Obama,C,0,2,43,52,-9
Marist College, 8/7/2014,40,52,-12,Obama,A,-0.45775194,4,40.22887597,51.77112403,-11.54224806
Ipsos, 8/6/2014,37,57,-20,Obama,B+,0.5955,3.3,36.70225,57.29775,-20.5955
YouGov, 8/4/2014,42,54,-12,Obama,B,0.26403361,3,41.8679832,54.13201681,-12.26403361
NBC News/Wall Street Journal, 8/3/2014,40,54,-14,Obama,A-,0.80923077,3.7,39.59538462,54.40461539,-14.80923077
CBS News/New York Times, 8/4/2014,41,50,-9,Obama,A-,0.43547945,3.7,40.78226028,50.21773973,-9.43547945
YouGov, 7/28/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
GfK Group, 7/28/2014,40,59,-19,Obama,B,0.25490196,3,39.87254902,59.12745098,-19.25490196
Ipsos, 7/24/2014,38,58,-20,Obama,B+,0.5955,3.3,37.70225,58.29775,-20.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 7/22/2014,42,52,-10,Obama,A,0.61413043,4,41.69293479,52.30706522,-10.61413043
CNN/Opinion Research Corp., 7/20/2014,42,55,-13,Obama,B+,0.0607,3.3,41.96965,55.03035,-13.0607
YouGov, 7/21/2014,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
Ipsos, 7/16/2014,37,56,-19,Obama,B+,0.5955,3.3,36.70225,56.29775,-19.5955
YouGov, 7/14/2014,42,53,-11,Obama,B,0.26403361,3,41.8679832,53.13201681,-11.26403361
Pew Research Center, 7/14/2014,44,49,-5,Obama,B-,0.62980392,2.7,43.68509804,49.31490196,-5.62980392
YouGov, 7/7/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
YouGov, 7/7/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
YouGov, 6/30/2014,46,51,-5,Obama,B,0.26403361,3,45.8679832,51.13201681,-5.26403361
Quinnipiac University, 6/30/2014,40,53,-13,Obama,A-,0.06815029,3.7,39.96592486,53.03407515,-13.06815029
Ipsos, 6/28/2014,37,56,-19,Obama,B+,0.5955,3.3,36.70225,56.29775,-19.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/23/2014,41,54,-13,Obama,A,0.61413043,4,40.69293479,54.30706522,-13.61413043
CBS News/New York Times, 6/22/2014,40,54,-14,Obama,A-,0.43547945,3.7,39.78226028,54.21773973,-14.43547945
YouGov, 6/23/2014,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
Ipsos, 6/19/2014,36,58,-22,Obama,B+,0.5955,3.3,35.70225,58.29775,-22.5955
YouGov, 6/16/2014,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
NBC News/Wall Street Journal, 6/15/2014,41,53,-12,Obama,A-,0.80923077,3.7,40.59538462,53.40461539,-12.80923077
YouGov, 6/9/2014,42,55,-13,Obama,B,0.26403361,3,41.8679832,55.13201681,-13.26403361
Bloomberg, 6/9/2014,43,53,-10,Obama,C,0,2,43,53,-10
Ipsos, 6/5/2014,38,55,-17,Obama,B+,0.5955,3.3,37.70225,55.29775,-17.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/3/2014,40,54,-14,Obama,A,0.61413043,4,39.69293479,54.30706522,-14.61413043
CNN/Opinion Research Corp., 6/1/2014,43,55,-12,Obama,B+,0.0607,3.3,42.96965,55.03035,-12.0607
ABC News/Washington Post, 6/1/2014,45,53,-8,Obama,A+,0.61341176,4,44.69329412,53.30670588,-8.61341176
Ipsos, 5/26/2014,38,56,-18,Obama,B+,0.5955,3.3,37.70225,56.29775,-18.5955
GfK Group, 5/19/2014,43,56,-13,Obama,B,0.25490196,3,42.87254902,56.12745098,-13.25490196
CBS News/New York Times, 5/19/2014,43,48,-5,Obama,A-,0.43547945,3.7,42.78226028,48.21773973,-5.43547945
Fox News/Anderson Robbins Research/Shaw & Co. Research, 5/13/2014,44,49,-5,Obama,A,0.61413043,4,43.69293479,49.30706522,-5.61413043
YouGov, 5/12/2014,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
Ipsos, 5/7/2014,40,54,-14,Obama,B+,0.5955,3.3,39.70225,54.29775,-14.5955
CNN/Opinion Research Corp., 5/4/2014,43,55,-12,Obama,B+,0.0607,3.3,42.96965,55.03035,-12.0607
YouGov, 5/5/2014,44,53,-9,Obama,B,0.26403361,3,43.8679832,53.13201681,-9.26403361
YouGov, 4/28/2014,45,52,-7,Obama,B,0.26403361,3,44.8679832,52.13201681,-7.26403361
ABC News/Washington Post, 4/27/2014,41,55,-14,Obama,A+,0.61341176,4,40.69329412,55.30670588,-14.61341176
Pew Research Center, 4/27/2014,44,50,-6,Obama,B-,0.62980392,2.7,43.68509804,50.31490196,-6.62980392
NBC News/Wall Street Journal, 4/27/2014,44,50,-6,Obama,A-,0.80923077,3.7,43.59538462,50.40461539,-6.80923077
YouGov, 4/21/2014,41,56,-15,Obama,B,0.26403361,3,40.8679832,56.13201681,-15.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 4/15/2014,42,51,-9,Obama,A,0.61413043,4,41.69293479,51.30706522,-9.61413043
Ipsos, 4/15/2014,44,51,-7,Obama,B+,0.5955,3.3,43.70225,51.29775,-7.5955
YouGov, 4/14/2014,43,53,-10,Obama,B,0.26403361,3,42.8679832,53.13201681,-10.26403361
National Journal, 4/13/2014,41,52,-11,Obama,A,-0.17857143,4,41.08928572,51.91071429,-10.82142857
Marist College, 4/10/2014,45,52,-7,Obama,A,-0.45775194,4,45.22887597,51.77112403,-6.54224806
YouGov, 4/7/2014,42,55,-13,Obama,B,0.26403361,3,41.8679832,55.13201681,-13.26403361
YouGov, 3/31/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
Reason-Rupe/PSRAI, 3/30/2014,43,51,-8,Obama,C,0,2,43,51,-8
Quinnipiac University, 3/31/2014,42,50,-8,Obama,A-,0.06815029,3.7,41.96592486,50.03407515,-8.06815029
Fox News/Anderson Robbins Research/Shaw & Co. Research, 3/25/2014,40,53,-13,Obama,A,0.61413043,4,39.69293479,53.30706522,-13.61413043
YouGov, 3/24/2014,44,53,-9,Obama,B,0.26403361,3,43.8679832,53.13201681,-9.26403361
GfK Group, 3/24/2014,41,59,-18,Obama,B,0.25490196,3,40.87254902,59.12745098,-18.25490196
CBS News/New York Times, 3/23/2014,43,50,-7,Obama,A-,0.43547945,3.7,42.78226028,50.21773973,-7.43547945
NPR/GQR/Resurgent, 3/23/2014,46,51,-5,Obama,C,0,2,46,51,-5
George Washington University (Battleground), 3/20/2014,44,53,-9,Obama,B,-0.97508197,3,44.48754099,52.51245902,-8.02491803
Ipsos, 3/18/2014,41,55,-14,Obama,B+,0.5955,3.3,40.70225,55.29775,-14.5955
YouGov, 3/17/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
Ipsos, 3/11/2014,42,53,-11,Obama,B+,0.5955,3.3,41.70225,53.29775,-11.5955
YouGov, 3/10/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
Bloomberg, 3/10/2014,48,48,0,Obama,C,0,2,48,48,0
NBC News/Wall Street Journal, 3/9/2014,41,54,-13,Obama,A-,0.80923077,3.7,40.59538462,54.40461539,-13.80923077
CNN/Opinion Research Corp., 3/9/2014,43,53,-10,Obama,B+,0.0607,3.3,42.96965,53.03035,-10.0607
Public Policy Polling, 3/9/2014,43,51,-8,Obama,B,0.26406832,3,42.86796584,51.13203416,-8.26406832
Fox News/Anderson Robbins Research/Shaw & Co. Research, 3/4/2014,38,54,-16,Obama,A,0.61413043,4,37.69293479,54.30706522,-16.61413043
YouGov, 3/3/2014,42,55,-13,Obama,B,0.26403361,3,41.8679832,55.13201681,-13.26403361
ABC News/Washington Post, 3/2/2014,46,52,-6,Obama,A+,0.61341176,4,45.69329412,52.30670588,-6.61341176
YouGov, 2/24/2014,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
CBS News/New York Times, 2/23/2014,41,51,-10,Obama,A-,0.43547945,3.7,40.78226028,51.21773973,-10.43547945
YouGov, 2/17/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 2/11/2014,42,53,-11,Obama,A,0.61413043,4,41.69293479,53.30706522,-11.61413043
YouGov, 2/10/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
Marist College, 2/9/2014,42,52,-10,Obama,A,-0.45775194,4,42.22887597,51.77112403,-9.54224806
YouGov, 2/3/2014,44,53,-9,Obama,B,0.26403361,3,43.8679832,53.13201681,-9.26403361
CNN/Opinion Research Corp., 2/2/2014,45,51,-6,Obama,B+,0.0607,3.3,44.96965,51.03035,-6.0607
Ipsos, 1/30/2014,40,54,-14,Obama,B+,0.5955,3.3,39.70225,54.29775,-14.5955
YouGov, 1/27/2014,45,52,-7,Obama,B,0.26403361,3,44.8679832,52.13201681,-7.26403361
NBC News/Wall Street Journal, 1/25/2014,43,51,-8,Obama,A-,0.80923077,3.7,42.59538462,51.40461539,-8.80923077
ABC News/Washington Post, 1/23/2014,45,52,-7,Obama,A+,0.61341176,4,44.69329412,52.30670588,-7.61341176
Fox News/Anderson Robbins Research/Shaw & Co. Research, 1/21/2014,42,53,-11,Obama,A,0.61413043,4,41.69293479,53.30706522,-11.61413043
Ipsos, 1/22/2014,37,55,-18,Obama,B+,0.5955,3.3,36.70225,55.29775,-18.5955
YouGov, 1/20/2014,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
CBS News/New York Times, 1/21/2014,46,47,-1,Obama,A-,0.43547945,3.7,45.78226028,47.21773973,-1.43547945
GfK Group, 1/21/2014,45,53,-8,Obama,B,0.25490196,3,44.87254902,53.12745098,-8.25490196
Quinnipiac University, 1/19/2014,40,54,-14,Obama,A-,0.06815029,3.7,39.96592486,54.03407515,-14.06815029
Pew Research Center, 1/19/2014,43,49,-6,Obama,B-,0.62980392,2.7,42.68509804,49.31490196,-6.62980392
George Washington University (Battleground), 1/16/2014,41,54,-13,Obama,B,-0.97508197,3,41.48754099,53.51245902,-12.02491803
Ipsos, 1/14/2014,40,53,-13,Obama,B+,0.5955,3.3,39.70225,53.29775,-13.5955
YouGov, 1/13/2014,42,57,-15,Obama,B,0.26403361,3,41.8679832,57.13201681,-15.26403361
Quinnipiac University, 1/7/2014,41,53,-12,Obama,A-,0.06815029,3.7,40.96592486,53.03407515,-12.06815029
Ipsos, 1/7/2014,39,51,-12,Obama,B+,0.5955,3.3,38.70225,51.29775,-12.5955
YouGov, 1/6/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
YouGov, 12/30/2013,40,57,-17,Obama,B,0.26403361,3,39.8679832,57.13201681,-17.26403361
YouGov, 12/23/2013,42,55,-13,Obama,B,0.26403361,3,41.8679832,55.13201681,-13.26403361
CNN/Opinion Research Corp., 12/19/2013,41,56,-15,Obama,B+,0.0607,3.3,40.96965,56.03035,-15.0607
YouGov, 12/16/2013,40,58,-18,Obama,B,0.26403361,3,39.8679832,58.13201681,-18.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 12/16/2013,41,53,-12,Obama,A,0.61413043,4,40.69293479,53.30706522,-12.61413043
ABC News/Washington Post, 12/15/2013,43,55,-12,Obama,A+,0.61341176,4,42.69329412,55.30670588,-12.61341176
YouGov, 12/9/2013,41,56,-15,Obama,B,0.26403361,3,40.8679832,56.13201681,-15.26403361
Bloomberg, 12/9/2013,42,55,-13,Obama,C,0,2,42,55,-13
GfK Group, 12/9/2013,42,58,-16,Obama,B,0.25490196,3,41.87254902,58.12745098,-16.25490196
CBS News/New York Times, 12/8/2013,42,50,-8,Obama,A-,0.43547945,3.7,41.78226028,50.21773973,-8.43547945
NBC News/Wall Street Journal, 12/8/2013,43,54,-11,Obama,A-,0.80923077,3.7,42.59538462,54.40461539,-11.80923077
Reason-Rupe/PSRAI, 12/8/2013,47,50,-3,Obama,C,0,2,47,50,-3
Quinnipiac University, 12/9/2013,38,57,-19,Obama,A-,0.06815029,3.7,37.96592486,57.03407515,-19.06815029
Pew Research Center, 12/8/2013,43,51,-8,Obama,B-,0.62980392,2.7,42.68509804,51.31490196,-8.62980392
Marist College, 12/5/2013,43,53,-10,Obama,A,-0.45775194,4,43.22887597,52.77112403,-9.54224806
Ipsos, 12/3/2013,38,55,-17,Obama,B+,0.5955,3.3,37.70225,55.29775,-17.5955
YouGov, 12/2/2013,39,57,-18,Obama,B,0.26403361,3,38.8679832,57.13201681,-18.26403361
Ipsos, 11/26/2013,38,56,-18,Obama,B+,0.5955,3.3,37.70225,56.29775,-18.5955
YouGov, 11/25/2013,37,58,-21,Obama,B,0.26403361,3,36.8679832,58.13201681,-21.26403361
CNN/Opinion Research Corp., 11/20/2013,41,57,-16,Obama,B+,0.0607,3.3,40.96965,57.03035,-16.0607
YouGov, 11/18/2013,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
CBS News/New York Times, 11/18/2013,37,57,-20,Obama,A-,0.43547945,3.7,36.78226028,57.21773973,-20.43547945
ABC News/Washington Post, 11/17/2013,41,56,-15,Obama,A+,0.61341176,4,40.69329412,56.30670588,-15.61341176
Fox News/Anderson Robbins Research/Shaw & Co. Research, 11/12/2013,40,55,-15,Obama,A,0.61413043,4,39.69293479,55.30706522,-15.61413043
YouGov, 11/11/2013,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
Quinnipiac University, 11/11/2013,39,54,-15,Obama,A-,0.06815029,3.7,38.96592486,54.03407515,-15.06815029
National Journal, 11/6/2013,38,55,-17,Obama,A,-0.17857143,4,38.08928572,54.91071429,-16.82142857
Pew Research Center, 11/6/2013,39,56,-17,Obama,B-,0.62980392,2.7,38.68509804,56.31490196,-17.62980392
YouGov, 11/4/2013,41,53,-12,Obama,B,0.26403361,3,40.8679832,53.13201681,-12.26403361
George Washington University (Battleground), 10/31/2013,45,52,-7,Obama,B,-0.97508197,3,45.48754099,51.51245902,-6.02491803
Ipsos, 10/29/2013,40,52,-12,Obama,B+,0.5955,3.3,39.70225,52.29775,-12.5955
YouGov, 10/28/2013,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
NBC News/Wall Street Journal, 10/28/2013,42,51,-9,Obama,A-,0.80923077,3.7,41.59538462,51.40461539,-9.80923077
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/22/2013,41,53,-12,Obama,A,0.61413043,4,40.69293479,53.30706522,-12.61413043
YouGov, 10/21/2013,47,50,-3,Obama,B,0.26403361,3,46.8679832,50.13201681,-3.26403361
CBS News/New York Times, 10/21/2013,46,49,-3,Obama,A-,0.43547945,3.7,45.78226028,49.21773973,-3.43547945
CNN/Opinion Research Corp., 10/20/2013,43,53,-10,Obama,B+,0.0607,3.3,42.96965,53.03035,-10.0607
ABC News/Washington Post, 10/20/2013,46,51,-5,Obama,A+,0.61341176,4,45.69329412,51.30670588,-5.61341176
YouGov, 10/14/2013,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
Pew Research Center, 10/13/2013,43,51,-8,Obama,B-,0.62980392,2.7,42.68509804,51.31490196,-8.62980392
NBC News/Wall Street Journal, 10/9/2013,47,48,-1,Obama,A-,0.80923077,3.7,46.59538462,48.40461539,-1.80923077
Ipsos, 10/8/2013,40,54,-14,Obama,B+,0.5955,3.3,39.70225,54.29775,-14.5955
YouGov, 10/7/2013,48,48,0,Obama,B,0.26403361,3,47.8679832,48.13201681,-0.26403361
GfK Group, 10/7/2013,37,53,-16,Obama,B,0.25490196,3,36.87254902,53.12745098,-16.25490196
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/2/2013,45,49,-4,Obama,A,0.61413043,4,44.69293479,49.30706522,-4.61413043
Ipsos, 10/1/2013,41,51,-10,Obama,B+,0.5955,3.3,40.70225,51.29775,-10.5955
YouGov, 9/30/2013,43,53,-10,Obama,B,0.26403361,3,42.8679832,53.13201681,-10.26403361
CNN/Opinion Research Corp., 9/29/2013,44,53,-9,Obama,B+,0.0607,3.3,43.96965,53.03035,-9.0607
Quinnipiac University, 9/29/2013,45,49,-4,Obama,A-,0.06815029,3.7,44.96592486,49.03407515,-4.06815029
Ipsos, 9/24/2013,39,55,-16,Obama,B+,0.5955,3.3,38.70225,55.29775,-16.5955
YouGov, 9/23/2013,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
Bloomberg, 9/23/2013,45,49,-4,Obama,C,0,2,45,49,-4
CBS News/New York Times, 9/23/2013,43,49,-6,Obama,A-,0.43547945,3.7,42.78226028,49.21773973,-6.43547945
YouGov, 9/16/2013,44,55,-11,Obama,B,0.26403361,3,43.8679832,55.13201681,-11.26403361
ABC News/Washington Post, 9/15/2013,47,47,0,Obama,A+,0.61341176,4,46.69329412,47.30670588,-0.61341176
Ipsos, 9/10/2013,39,56,-17,Obama,B+,0.5955,3.3,38.70225,56.29775,-17.5955
YouGov, 9/9/2013,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
Marist College, 9/8/2013,44,47,-3,Obama,A,-0.45775194,4,44.22887597,46.77112403,-2.54224806
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/8/2013,40,54,-14,Obama,A,0.61413043,4,39.69293479,54.30706522,-14.61413043
CBS News/New York Times, 9/8/2013,46,46,0,Obama,A-,0.43547945,3.7,45.78226028,46.21773973,-0.43547945
CNN/Opinion Research Corp., 9/8/2013,45,52,-7,Obama,B+,0.0607,3.3,44.96965,52.03035,-7.0607
NBC News/Wall Street Journal, 9/8/2013,45,50,-5,Obama,A-,0.80923077,3.7,44.59538462,50.40461539,-5.80923077
Pew Research Center, 9/8/2013,43,52,-9,Obama,B-,0.62980392,2.7,42.68509804,52.31490196,-9.62980392
Reason-Rupe/PSRAI, 9/8/2013,43,51,-8,Obama,C,0,2,43,51,-8
National Journal, 9/7/2013,40,54,-14,Obama,A,-0.17857143,4,40.08928572,53.91071429,-13.82142857
Ipsos, 9/3/2013,41,53,-12,Obama,B+,0.5955,3.3,40.70225,53.29775,-12.5955
YouGov, 9/2/2013,44,55,-11,Obama,B,0.26403361,3,43.8679832,55.13201681,-11.26403361
NBC News/Wall Street Journal, 8/29/2013,44,48,-4,Obama,A-,0.80923077,3.7,43.59538462,48.40461539,-4.80923077
Ipsos, 8/27/2013,42,52,-10,Obama,B+,0.5955,3.3,41.70225,52.29775,-10.5955
YouGov, 8/26/2013,41,55,-14,Obama,B,0.26403361,3,40.8679832,55.13201681,-14.26403361
Ipsos, 8/20/2013,41,52,-11,Obama,B+,0.5955,3.3,40.70225,52.29775,-11.5955
YouGov, 8/19/2013,44,53,-9,Obama,B,0.26403361,3,43.8679832,53.13201681,-9.26403361
Ipsos, 8/13/2013,42,52,-10,Obama,B+,0.5955,3.3,41.70225,52.29775,-10.5955
YouGov, 8/12/2013,44,53,-9,Obama,B,0.26403361,3,43.8679832,53.13201681,-9.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/5/2013,42,52,-10,Obama,A,0.61413043,4,41.69293479,52.30706522,-10.61413043
YouGov, 8/5/2013,42,57,-15,Obama,B,0.26403361,3,41.8679832,57.13201681,-15.26403361
Quinnipiac University, 7/31/2013,46,48,-2,Obama,A-,0.06815029,3.7,45.96592486,48.03407515,-2.06815029
Ipsos, 7/30/2013,40,51,-11,Obama,B+,0.5955,3.3,39.70225,51.29775,-11.5955
YouGov, 7/29/2013,47,52,-5,Obama,B,0.26403361,3,46.8679832,52.13201681,-5.26403361
Monmouth University, 7/30/2013,41,54,-13,Obama,A+,1.4258947,4,40.28705265,54.71294735,-14.4258947
Fox News/Anderson Robbins Research/Shaw & Co. Research, 7/23/2013,46,47,-1,Obama,A,0.61413043,4,45.69293479,47.30706522,-1.61413043
YouGov, 7/22/2013,41,56,-15,Obama,B,0.26403361,3,40.8679832,56.13201681,-15.26403361
Ipsos, 7/23/2013,41,51,-10,Obama,B+,0.5955,3.3,40.70225,51.29775,-10.5955
CBS News/New York Times, 7/22/2013,48,45,3,Obama,A-,0.43547945,3.7,47.78226028,45.21773973,2.56452055
NBC News/Wall Street Journal, 7/21/2013,45,50,-5,Obama,A-,0.80923077,3.7,44.59538462,50.40461539,-5.80923077
ABC News/Washington Post, 7/21/2013,49,44,5,Obama,A+,0.61341176,4,48.69329412,44.30670588,4.38658824
Pew Research Center, 7/21/2013,45,50,-5,Obama,B-,0.62980392,2.7,44.68509804,50.31490196,-5.62980392
Marist College, 7/18/2013,41,48,-7,Obama,A,-0.45775194,4,41.22887597,47.77112403,-6.54224806
YouGov, 7/15/2013,46,53,-7,Obama,B,0.26403361,3,45.8679832,53.13201681,-7.26403361
Ipsos, 7/16/2013,43,49,-6,Obama,B+,0.5955,3.3,42.70225,49.29775,-6.5955
YouGov, 7/8/2013,43,53,-10,Obama,B,0.26403361,3,42.8679832,53.13201681,-10.26403361
Ipsos, 7/9/2013,45,48,-3,Obama,B+,0.5955,3.3,44.70225,48.29775,-3.5955
Quinnipiac University, 7/8/2013,44,48,-4,Obama,A-,0.06815029,3.7,43.96592486,48.03407515,-4.06815029
Ipsos, 7/2/2013,43,51,-8,Obama,B+,0.5955,3.3,42.70225,51.29775,-8.5955
YouGov, 7/1/2013,45,51,-6,Obama,B,0.26403361,3,44.8679832,51.13201681,-6.26403361
Ipsos, 6/25/2013,43,50,-7,Obama,B+,0.5955,3.3,42.70225,50.29775,-7.5955
YouGov, 6/24/2013,46,52,-6,Obama,B,0.26403361,3,45.8679832,52.13201681,-6.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/24/2013,43,51,-8,Obama,A,0.61413043,4,42.69293479,51.30706522,-8.61413043
Ipsos, 6/18/2013,44,48,-4,Obama,B+,0.5955,3.3,43.70225,48.29775,-4.5955
YouGov, 6/17/2013,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
Pew Research Center, 6/16/2013,46,48,-2,Obama,B-,0.62980392,2.7,45.68509804,48.31490196,-2.62980392
CNN/Opinion Research Corp., 6/13/2013,45,54,-9,Obama,B+,0.0607,3.3,44.96965,54.03035,-9.0607
Time, 6/11/2013,48,44,4,Obama,C,0,2,48,44,4
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/11/2013,44,50,-6,Obama,A,0.61413043,4,43.69293479,50.30706522,-6.61413043
Ipsos, 6/11/2013,43,51,-8,Obama,B+,0.5955,3.3,42.70225,51.29775,-8.5955
YouGov, 6/10/2013,46,52,-6,Obama,B,0.26403361,3,45.8679832,52.13201681,-6.26403361
CBS News/New York Times, 6/4/2013,47,43,4,Obama,A-,0.43547945,3.7,46.78226028,43.21773973,3.56452055
Ipsos, 6/4/2013,45,50,-5,Obama,B+,0.5955,3.3,44.70225,50.29775,-5.5955
YouGov, 6/3/2013,48,50,-2,Obama,B,0.26403361,3,47.8679832,50.13201681,-2.26403361
Bloomberg, 6/3/2013,49,46,3,Obama,C,0,2,49,46,3
NBC News/Wall Street Journal, 6/2/2013,48,47,1,Obama,A-,0.80923077,3.7,47.59538462,47.40461539,0.19076923
National Journal, 6/2/2013,48,46,2,Obama,A,-0.17857143,4,48.08928572,45.91071429,2.17857143
Ipsos, 5/28/2013,45,50,-5,Obama,B+,0.5955,3.3,44.70225,50.29775,-5.5955
YouGov, 5/27/2013,47,52,-5,Obama,B,0.26403361,3,46.8679832,52.13201681,-5.26403361
Quinnipiac University, 5/28/2013,45,49,-4,Obama,A-,0.06815029,3.7,44.96592486,49.03407515,-4.06815029
Fox News/Anderson Robbins Research/Shaw & Co. Research, 5/20/2013,45,51,-6,Obama,A,0.61413043,4,44.69293479,51.30706522,-6.61413043
YouGov, 5/20/2013,47,52,-5,Obama,B,0.26403361,3,46.8679832,52.13201681,-5.26403361
ABC News/Washington Post, 5/19/2013,50,47,3,Obama,A+,0.61341176,4,49.69329412,47.30670588,2.38658824
CNN/Opinion Research Corp., 5/18/2013,53,45,8,Obama,B+,0.0607,3.3,52.96965,45.03035,7.9393
Ipsos, 5/14/2013,45,49,-4,Obama,B+,0.5955,3.3,44.70225,49.29775,-4.5955
YouGov, 5/13/2013,47,50,-3,Obama,B,0.26403361,3,46.8679832,50.13201681,-3.26403361
Reason-Rupe/PSRAI, 5/13/2013,50,43,7,Obama,C,0,2,50,43,7
Ipsos, 5/7/2013,45,47,-2,Obama,B+,0.5955,3.3,44.70225,47.29775,-2.5955
YouGov, 5/6/2013,49,49,0,Obama,B,0.26403361,3,48.8679832,49.13201681,-0.26403361
Pew Research Center, 5/5/2013,51,43,8,Obama,B-,0.62980392,2.7,50.68509804,43.31490196,7.37019608
Ipsos, 5/1/2013,48,49,-1,Obama,B+,0.5955,3.3,47.70225,49.29775,-1.5955
