1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
1836,MN,Minnesota,3,H8MN03069 ,,Terri E.,Bonoff,Bonoff; Terri E.,,DFL,Unopposed,,,,169243,43.01%,,,,,,
1837,MN,Minnesota,3,n/a,,,Scattered,Scattered,,W,,,,,1144,0.29%,,,,,,
1838,MN,Minnesota,3,n/a,,,,,District Votes:,,,,,,393464,,,,,,,
1839,MN,Minnesota,3,n/a,,,,,,,,,,,,,,,,,,
1840,MN,Minnesota,4,H0MN04049,(I),Betty ,McCollum,McCollum; Betty ,,DFL,33336,94.00%,,,203299,57.76%,,,,,W,
1841,MN,Minnesota,4,H0MN04163,,Steve,Carlson,Carlson; Steve,,DFL,2128,6.00%,,,,,,,,,,
1842,MN,Minnesota,4,n/a,,,,,Party Votes:,DFL,35464,,,,,,,,,,,
1843,MN,Minnesota,4,H6MN04236,,Greg,Ryan,Ryan; Greg,,R,5618,81.98%,,,121032,34.39%,,,,,,
1844,MN,Minnesota,4,H6MN04244,,Gene,Rechtzigel,Rechtzigel; Gene,,R,845,12.33%,,,,,,,,,,
1845,MN,Minnesota,4,H6MN04251 ,,Nikolay Nikolayevich,Bey,Bey; Nikolay Nikolayevich,,R,390,5.69%,,,,,,,,,,
1846,MN,Minnesota,4,n/a,,,,,Party Votes:,R,6853,,,,,,,,,,,
1847,MN,Minnesota,4,H6MN04269 ,,Susan Pendergast,Sindt,Sindt; Susan Pendergast,,LMN,,,,,27152,7.71%,,,,,,
1848,MN,Minnesota,4,n/a,,,Scattered,Scattered,,W,,,,,461,0.13%,,,,,,
1849,MN,Minnesota,4,n/a,,,,,District Votes:,,42317,,,,351944,,,,,,,
1850,MN,Minnesota,4,n/a,,,,,,,,,,,,,,,,,,
1851,MN,Minnesota,5,H6MN05183,(I),Keith,Ellison,Ellison; Keith,,DFL,40380,91.72%,,,249964,69.07%,,,,,W,
1852,MN,Minnesota,5,H6MN05316,,Gregg A.,Iverson,Iverson; Gregg A.,,DFL,1887,4.29%,,,,,,,,,,
1853,MN,Minnesota,5,H4MN05089,,Lee ,Bauer,Bauer; Lee ,,DFL,1757,3.99%,,,,,,,,,,
1854,MN,Minnesota,5,n/a,,,,,Party Votes:,DFL,44024,,,,,,,,,,,
1855,MN,Minnesota,5,H6MN05332 ,,Frank Nelson,Drake,Drake; Frank Nelson,,R,4177,100.00%,,,80660,22.29%,,,,,,
1856,MN,Minnesota,5,n/a,,,,,Party Votes:,R,4177,,,,,,,,,,,
1857,MN,Minnesota,5,H6MN05340,,Dennis,Schuller,Schuller; Dennis,,LMN,,,,,30759,8.50%,,,,,,
1858,MN,Minnesota,5,n/a,,,Scattered,Scattered,,W,,,,,499,0.14%,,,,,,
1859,MN,Minnesota,5,n/a,,,,,District Votes:,,48201,,,,361882,,,,,,,
1860,MN,Minnesota,5,n/a,,,,,,,,,,,,,,,,,,
1861,MN,Minnesota,6,H4MN06087,(I),Tom,Emmer,Emmer; Tom,,R,13590,68.74%,,,235380,65.58%,,,,,W,
1862,MN,Minnesota,6,H6MN06165,,A. J.,Kern,Kern; A. J.,,R,5219,26.40%,,,,,,,,,,
1863,MN,Minnesota,6,H6MN06199 ,,Patrick,Munro,Munro; Patrick,,R,962,4.87%,,,,,,,,,,
1864,MN,Minnesota,6,n/a,,,,,Party Votes:,R,19771,,,,,,,,,,,
1865,MN,Minnesota,6,H6MN06181,,David,Snyder,Snyder; David,,DFL,4402,46.02%,,,123008,34.27%,,,,,,
1866,MN,Minnesota,6,H6MN06173 ,,Judy Evelyn,Adams,Adams; Judy Evelyn,,DFL,3569,37.31%,,,,,,,,,,
1867,MN,Minnesota,6,H6MN06157,,Bob,Helland,Helland; Bob,,DFL,1595,16.67%,,,,,,,,,,
1868,MN,Minnesota,6,n/a,,,,,Party Votes:,DFL,9566,,,,,,,,,,,
1869,MN,Minnesota,6,n/a,,,Scattered,Scattered,,W,,,,,536,0.15%,,,,,,
1870,MN,Minnesota,6,n/a,,,,,,,,,,,,,,,,,,
1871,MN,Minnesota,6,n/a,,,,,District Votes:,,29337,,,,358924,,,,,,,
1872,MN,Minnesota,6,n/a,,,,,,,,,,,,,,,,,,
1873,MN,Minnesota,7,H2MN07014,(I),Collin,Peterson,Peterson; Collin,,DFL,16253,100.00%,,,173589,52.47%,,,,,W,
1874,MN,Minnesota,7,n/a,,,,,Party Votes:,DFL,16253,,,,,,,,,,,
1875,MN,Minnesota,7,H6MN07304,,Dave,Hughes,Hughes; Dave,,R,8769,58.96%,,,156952,47.44%,,,,,,
1876,MN,Minnesota,7,H6MN07288,,Amanda Lynn,Hinson,Hinson; Amanda Lynn,,R,6104,41.04%,,,,,,,,,,
1877,MN,Minnesota,7,n/a,,,,,Party Votes:,R,14873,,,,,,,,,,,
1878,MN,Minnesota,7,n/a,,,Scattered,Scattered,,W,,,,,307,0.09%,,,,,,
1879,MN,Minnesota,7,n/a,,,,,District Votes:,,31126,,,,330848,,,,,,,
1880,MN,Minnesota,7,n/a,,,,,,,,,,,,,,,,,,
1881,MN,Minnesota,8,H2MN08111,(I),Rick ,Nolan,Nolan; Rick ,,DFL,Unopposed,,,,179098,50.17%,,,,,W,
1882,MN,Minnesota,8,H4MN08083,,Stewart,Mills,Mills; Stewart,,R,Unopposed,,,,177089,49.61%,,,,,,
1883,MN,Minnesota,8,n/a,,,Scattered,Scattered,,W,,,,,792,0.22%,,,,,,
1884,MN,Minnesota,8,n/a,,,,,District Votes:,,,,,,356979,,,,,,,
1885,MN,Minnesota,8,n/a,,,,,,,,,,,,,,,,,,
1886,MN,Minnesota,8,n/a,,,,,,,,,,,,,,,,,,
1887,MN,Minnesota,H,n/a,,,,,Total State Votes:,,217657,,,,2860432,,,,,,,
1888,,,,n/a,,,,,,,,,,,,,,,,,,
1889,MS,Mississippi,,n/a,,,,,,,,,,,,,,,,,,
1890,MS,Mississippi,1,H6MS01131,(I),Trent,Kelly,Kelly; Trent,,R,95049,89.29%,,,206455,68.72%,,,,,W,
1891,MS,Mississippi,1,H6MS01271,,Paul,Clever,Clever; Paul,,R,11397,10.71%,,,,,,,,,,
1892,MS,Mississippi,1,n/a,,,,,Party Votes:,R,106446,,,,,,,,,,,
1893,MS,Mississippi,1,H6MS01263,,Jacob,Owens,Owens; Jacob,,D,Unopposed,,,,83947,27.94%,,,,,,
1894,MS,Mississippi,1,H6MS02154 ,,Chase,Wilson,Wilson; Chase,,LIB,Unopposed,,,,6181,2.06%,,,,,,
1895,MS,Mississippi,1,H6MS01289,,Cathy L.,Toole,Toole; Cathy L.,,REF,Unopposed,,,,3840,1.28%,,,,,,
1896,MS,Mississippi,1,n/a,,,,,District Votes:,,106446,,,,300423,,,,,,,
1897,MS,Mississippi,1,n/a,,,,,,,,,,,,,,,,,,
1898,MS,Mississippi,2,H4MS02068,(I),Bennie,Thompson,Thompson; Bennie,,D,Unopposed,,,,192343,67.11%,,,,,W,
1899,MS,Mississippi,2,H6MS02162 ,,John II,Bouie,Bouie; John; II,,R,35871,100.00%,,,83542,29.15%,,,,,,
1900,MS,Mississippi,2,n/a,,,,,Party Votes:,R,35871,,,,,,,,,,,
1901,MS,Mississippi,2,H4MS02183,,Troy,Ray,Ray; Troy,,IND,,,,,6918,2.41%,,,,,,
1902,MS,Mississippi,2,H6MS02170 ,,Johnny,McLeod,McLeod; Johnny,,REF,Unopposed,,,,3823,1.33%,,,,,,
1903,MS,Mississippi,2,n/a,,,,,District Votes:,,35871,,,,286626,,,,,,,
1904,MS,Mississippi,2,n/a,,,,,,,,,,,,,,,,,,
1905,MS,Mississippi,3,H8MS03067,(I),Gregg,Harper,Harper; Gregg,,R,87997,89.10%,,,209490,66.20%,,,,,W,
1906,MS,Mississippi,3,H6MS03178,,Jimmy,Giles,Giles; Jimmy,,R,10760,10.90%,,,,,,,,,,
1907,MS,Mississippi,3,n/a,,,,,Party Votes:,R,98757,,,,,,,,,,,
1908,MS,Mississippi,3,H4MS03041,,Dennis,Quinn,Quinn; Dennis,,D,29149,65.45%,,,96101,30.37%,,,,,,
1909,MS,Mississippi,3,H6MS03186 ,,Nathan,Stewart,Stewart; Nathan,,D,15384,34.55%,,,,,,,,,,
1910,MS,Mississippi,3,n/a,,,,,Party Votes:,D,44533,,,,,,,,,,,
1911,MS,Mississippi,3,H4MS03058,,Roger I.,Gerrard,Gerrard; Roger I.,,VPA,,,,,8696,2.75%,,,,,,
1912,MS,Mississippi,3,H6MS03194 ,,Lajena,Sheets,Sheets; Lajena,,REF,Unopposed,,,,2158,0.68%,,,,,,
1913,MS,Mississippi,3,n/a,,,,,District Votes:,,143290,,,,316445,,,,,,,
1914,MS,Mississippi,3,n/a,,,,,,,,,,,,,,,,,,
1915,MS,Mississippi,4,H0MS04120,(I),Steven,Palazzo,Palazzo; Steven,,R,103558,100.00%,,,181323,65.04%,,,,,W,
1916,MS,Mississippi,4,n/a,,,,,Party Votes:,R,103558,,,,,,,,,,,
1917,MS,Mississippi,4,H6MS04192,,Mark,Gladney,Gladney; Mark,,D,Unopposed,,,,77505,27.80%,,,,,,
1918,MS,Mississippi,4,H6MS04200,,Richard Blake,McCluskey,McCluskey; Richard Blake,,LIB,Unopposed,,,,14687,5.27%,,,,,,
1919,MS,Mississippi,4,H0MS03049,,Shawn,O'Hara,O'Hara; Shawn,,REF,Unopposed,,,,5264,1.89%,,,,,,
1920,MS,Mississippi,4,n/a,,,,,District Votes:,,103558,,,,278779,,,,,,,
1921,MS,Mississippi,4,n/a,,,,,,,,,,,,,,,,,,
1922,MS,Mississippi,4,n/a,,,,,,,,,,,,,,,,,,
1923,MS,Mississippi,H,n/a,,,,,Total State Votes:,,389165,,,,1182273,,,,,,,
1924,,,,n/a,,,,,,,,,,,,,,,,,,
1925,MO,Missouri,,n/a,,,,,,,,,,,,,,,,,,
1926,MO,Missouri,1,H0MO01066,(I),Lacy ,Clay,Clay; Lacy ,,D,56139,62.64%,,,236993,75.47%,,,,,W,
1927,MO,Missouri,1,H6MO01253,,Maria N.,Chappelle-Nadal,Chappelle-Nadal; Maria N.,,D,24059,26.85%,,,,,,,,,,
1928,MO,Missouri,1,H8MO02158,,(William) Bill,Haas,Haas; (William) Bill,,D,9422,10.51%,,,,,,,,,,
1929,MO,Missouri,1,n/a,,,,,Party Votes:,D,89620,,,,,,,,,,,
1930,MO,Missouri,1,H8MO03131,,Steven G. ,Bailey,Bailey; Steven G. ,,R,12450,67.24%,,,62714,19.97%,,,,,,
1931,MO,Missouri,1,H6MO01261,,Paul III,Berry,Berry; Paul; III,,R,6067,32.76%,,,,,,,,,,
1932,MO,Missouri,1,n/a,,,,,Party Votes:,R,18517,,,,,,,,,,,
1933,MO,Missouri,1,H6MO01246,,Robb E.,Cunningham,Cunningham; Robb E.,,LIB,367,100.00%,,,14317,4.56%,,,,,,
1934,MO,Missouri,1,n/a,,,,,Party Votes:,LIB,367,,,,,,,,,,,
1935,MO,Missouri,1,n/a,,,,,District Votes:,,108504,,,,314024,,,,,,,
1936,MO,Missouri,1,n/a,,,,,,,,,,,,,,,,,,
1937,MO,Missouri,2,H2MO02102,(I),Ann ,Wagner,Wagner; Ann ,,R,77084,82.58%,,,241954,58.54%,,,,,W,
1938,MO,Missouri,2,H6MO02319,,Greg,Sears,Sears; Greg,,R,16263,17.42%,,,,,,,,,,
1939,MO,Missouri,2,n/a,,,,,Party Votes:,R,93347,,,,,,,,,,,
1940,MO,Missouri,2,H6MO02301,,Bill,Otto,Otto; Bill,,D,40379,100.00%,,,155689,37.67%,,,,,,
1941,MO,Missouri,2,n/a,,,,,Party Votes:,D,40379,,,,,,,,,,,
1942,MO,Missouri,2,H2MO02078,,Jim ,Higgins,Higgins; Jim ,,LIB,553,100.00%,,,11758,2.84%,,,,,,
1943,MO,Missouri,2,n/a,,,,,Party Votes:,LIB,553,,,,,,,,,,,
1944,MO,Missouri,2,H0MO03120,,David Justus,Arnold,Arnold; David Justus,,GRE,,,,,3895,0.94%,,,,,,
1945,MO,Missouri,2,n/a,,,,,,,,,,,,,,,,,,
1946,MO,Missouri,2,n/a,,,,,District Votes:,,134279,,,,413296,,,,,,,
1947,MO,Missouri,2,n/a,,,,,,,,,,,,,,,,,,
1948,MO,Missouri,3,H8MO09153,(I),Blaine,Luetkemeyer,Luetkemeyer; Blaine,,R,84274,73.46%,,,249865,67.84%,,,,,W,
1949,MO,Missouri,3,H6MO03333,,Cynthia Lynn,Davis,Davis; Cynthia Lynn,,R,30440,26.54%,,,,,,,,,,
1950,MO,Missouri,3,n/a,,,,,Party Votes:,R,114714,,,,,,,,,,,
1951,MO,Missouri,3,H6MO03341,,Kevin ,Miller,Miller; Kevin ,,D,26369,100.00%,,,102891,27.93%,,,,,,
1952,MO,Missouri,3,n/a,,,,,Party Votes:,D,26369,,,,,,,,,,,
1953,MO,Missouri,3,H6MO03358,,Dan ,Hogan,Hogan; Dan ,,LIB,483,100.00%,,,11962,3.25%,,,,,,
1954,MO,Missouri,3,n/a,,,,,Party Votes:,LIB,483,,,,,,,,,,,
1955,MO,Missouri,3,H6MO03325,,Doanita,Simmons,Simmons; Doanita,,CON,80,100.00%,,,3605,0.98%,,,,,,
1956,MO,Missouri,3,n/a,,,,,Party Votes:,CON,80,,,,,,,,,,,
1957,MO,Missouri,3,n/a,,Harold,Davis,Davis; Harold,,W,,,,,10,0.00%,,,,,,
1958,MO,Missouri,3,n/a,,,,,,,,,,,,,,,,,,
1959,MO,Missouri,3,n/a,,,,,District Votes:,,141646,,,,368333,,,,,,,
1960,MO,Missouri,3,n/a,,,,,,,,,,,,,,,,,,
1961,MO,Missouri,4,H0MO04086,(I),Vicky,Hartzler,Hartzler; Vicky,,R,73853,72.48%,,,225348,67.83%,,,,,W,
1962,MO,Missouri,4,H4MO04138,,John E.,Webb,Webb; John E.,,R,28037,27.52%,,,,,,,,,,
1963,MO,Missouri,4,n/a,,,,,Party Votes:,R,101890,,,,,,,,,,,
1964,MO,Missouri,4,H6MO04224,,Gordon,Christensen,Christensen; Gordon,,D,17160,62.73%,,,92510,27.84%,,,,,,
1965,MO,Missouri,4,H6MO07169,,Jack ,Truman,Truman; Jack ,,D,10196,37.27%,,,,,,,,,,
1966,MO,Missouri,4,n/a,,,,,Party Votes:,D,27356,,,,,,,,,,,
1967,MO,Missouri,4,H6MO04232,,Mark ,Bliss,Bliss; Mark ,,LIB,521,100.00%,,,14376,4.33%,,,,,,
1968,MO,Missouri,4,n/a,,,,,Party Votes:,LIB,521,,,,,,,,,,,
1969,MO,Missouri,4,n/a,,,,,District Votes:,,129767,,,,332234,,,,,,,
1970,MO,Missouri,4,n/a,,,,,,,,,,,,,,,,,,
1971,MO,Missouri,5,H4MO05234,(I),Emanuel II,Cleaver,Cleaver; Emanuel; II,,D,48755,88.21%,,,190766,58.83%,,,,,W,
1972,MO,Missouri,5,H6MO05221,,Roberta,Gough,Gough; Roberta,,D,6519,11.79%,,,,,,,,,,
1973,MO,Missouri,5,n/a,,,,,Party Votes:,D,55274,,,,,,,,,,,
1974,MO,Missouri,5,H6MO05189,,Jacob ,Turk,Turk; Jacob ,,R,28096,68.03%,,,123771,38.17%,,,,,,
1975,MO,Missouri,5,H6MO05213,,Michael ,Burris,Burris; Michael ,,R,6898,16.70%,,,,,,,,,,
1976,MO,Missouri,5,H6MO05205,,Austin ,Rucker,Rucker; Austin ,,R,4137,10.02%,,,,,,,,,,
1977,MO,Missouri,5,H4MO05333,,Berton A. ,Knox,Knox; Berton A. ,,R,2166,5.24%,,,,,,,,,,
1978,MO,Missouri,5,n/a,,,,,Party Votes:,R,41297,,,,,,,,,,,
1979,MO,Missouri,5,H4MO05341,,Roy ,Welborn,Welborn; Roy ,,LIB,577,100.00%,,,9733,3.00%,,,,,,
1980,MO,Missouri,5,n/a,,,,,Party Votes:,LIB,577,,,,,,,,,,,
1981,MO,Missouri,5,n/a,,,,,District Votes:,,97148,,,,324270,,,,,,,
1982,MO,Missouri,5,n/a,,,,,,,,,,,,,,,,,,
1983,MO,Missouri,6,H0MO06073,(I),Sam,Graves,Graves; Sam,,R,62764,76.21%,,,238388,68.02%,,,,,W,
1984,MO,Missouri,6,H0MO06164,,Christopher ,Ryan,Ryan; Christopher ,,R,11686,14.19%,,,,,,,,,,
1985,MO,Missouri,6,H4MO06091,,Kyle,Reid,Reid; Kyle,,R,7910,9.60%,,,,,,,,,,
1986,MO,Missouri,6,n/a,,,,,Party Votes:,R,82360,,,,,,,,,,,
1987,MO,Missouri,6,H6MO06229,,David M. ,Blackwell,Blackwell; David M. ,,D,7983,27.98%,,,99692,28.45%,,,,,,
1988,MO,Missouri,6,H0MO06172,,Kyle,Yarber,Yarber; Kyle,,D,7116,24.94%,,,,,,,,,,
1989,MO,Missouri,6,H6MO06211,,Travis,Gonzalez,Gonzalez; Travis,,D,6623,23.21%,,,,,,,,,,
1990,MO,Missouri,6,H4MO06083,,Edward Dwayne,Fields,Fields; Edward Dwayne,,D,3881,13.60%,,,,,,,,,,
1991,MO,Missouri,6,H6MO06237,,Matthew C. ,McNabney,McNabney; Matthew C. ,,D,2931,10.27%,,,,,,,,,,
1992,MO,Missouri,6,n/a,,,,,Party Votes:,D,28534,,,,,,,,,,,
1993,MO,Missouri,6,H2MO06228,,Russ Lee,Monchil,Monchil; Russ Lee,,LIB,385,100.00%,,,8123,2.32%,,,,,,
1994,MO,Missouri,6,n/a,,,,,Party Votes:,LIB,385,,,,,,,,,,,
1995,MO,Missouri,6,H6MO06245,,Mike,Diel,Diel; Mike,,GRE,,,,,4241,1.21%,,,,,,
1996,MO,Missouri,6,n/a,,,,,,,,,,,,,,,,,,
1997,MO,Missouri,6,n/a,,,,,District Votes:,,111279,,,,350444,,,,,,,
1998,MO,Missouri,6,n/a,,,,,,,,,,,,,,,,,,
1999,MO,Missouri,7,H0MO07113,(I),Billy ,Long,Long; Billy ,,R,67012,62.37%,,,228692,67.54%,,,,,W,
2000,MO,Missouri,7,H6MO07268,,Mary ,Byrne,Byrne; Mary ,,R,14069,13.09%,,,,,,,,,,
2001,MO,Missouri,7,H6MO07276,,Matt,Canovi,Canovi; Matt,,R,9538,8.88%,,,,,,,,,,
2002,MO,Missouri,7,H6MO07243,,Matthew,Evans,Evans; Matthew,,R,5346,4.98%,,,,,,,,,,
2003,MO,Missouri,7,H6MO07219,,Christopher ,Batsche,Batsche; Christopher ,,R,4860,4.52%,,,,,,,,,,
2004,MO,Missouri,7,H6MO07201,,Lyndle,Spencer,Spencer; Lyndle,,R,3537,3.29%,,,,,,,,,,
2005,MO,Missouri,7,H6MO07300,,James ,Nelson,Nelson; James ,,R,2037,1.90%,,,,,,,,,,
2006,MO,Missouri,7,H6MO07250,,Nathan Clay,Bradham,Bradham; Nathan Clay,,R,1042,0.97%,,,,,,,,,,
2007,MO,Missouri,7,n/a,,,,,Party Votes:,R,107441,,,,,,,,,,,
2008,MO,Missouri,7,H4MO07131,,Genevieve (Gen),Williams,Williams; Genevieve (Gen),,D,9402,52.14%,,,92756,27.39%,,,,,,
2009,MO,Missouri,7,H4MO07065,,Steven ,Reed,Reed; Steven ,,D,4915,27.26%,,,,,,,,,,
2010,MO,Missouri,7,H6MO07235,,Camille ,Lombardi-Olive,Lombardi-Olive; Camille ,,D,3714,20.60%,,,,,,,,,,
2011,MO,Missouri,7,n/a,,,,,Party Votes:,D,18031,,,,,,,,,,,
2012,MO,Missouri,7,H6MO07292,,Benjamin T.,Brixey,Brixey; Benjamin T.,,LIB,398,100.00%,,,17153,5.07%,,,,,,
2013,MO,Missouri,7,n/a,,,,,Party Votes:,LIB,398,,,,,,,,,,,
2014,MO,Missouri,7,n/a,,Amber,Thomsen,Thomsen; Amber,,W,,,,,6,0.00%,,,,,,
2015,MO,Missouri,7,n/a,,,,,,,,,,,,,,,,,,
2016,MO,Missouri,7,n/a,,,,,District Votes:,,125870,,,,338607,,,,,,,
2017,MO,Missouri,7,n/a,,,,,,,,,,,,,,,,,,
2018,MO,Missouri,8,H4MO08162,(I),Jason ,Smith,Smith; Jason ,,R,65450,67.50%,,,229792,74.40%,,,,,W,
2019,MO,Missouri,8,H6MO08142,,Hal,Brown,Brown; Hal,,R,15342,15.82%,,,,,,,,,,
2020,MO,Missouri,8,H2MO08067,,Todd ,Mahn,Mahn; Todd ,,R,11564,11.93%,,,,,,,,,,
2021,MO,Missouri,8,H6MO08134,,Phillip S.,Smith,Smith; Phillip S.,,R,4602,4.75%,,,,,,,,,,
2022,MO,Missouri,8,n/a,,,,,Party Votes:,R,96958,,,,,,,,,,,
2023,MO,Missouri,8,H6MO08126,,Dave,Cowell,Cowell; Dave,,D,22314,100.00%,,,70009,22.67%,,,,,,
2024,MO,Missouri,8,n/a,,,,,Party Votes:,D,22314,,,,,,,,,,,
2025,MO,Missouri,8,H6MO08159,,Jonathan ,Shell,Shell; Jonathan ,,LIB,254,100.00%,,,9070,2.94%,,,,,,
2026,MO,Missouri,8,n/a,,,,,Party Votes:,LIB,254,,,,,,,,,,,
2027,MO,Missouri,8,n/a,,,,,District Votes:,,119526,,,,308871,,,,,,,
2028,MO,Missouri,8,n/a,,,,,,,,,,,,,,,,,,
2029,MO,Missouri,H,n/a,,,,,Total State Votes:,,968019,,,,2750079,,,,,,,
2030,,,,n/a,,,,,,,,,,,,,,,,,,
2031,MT,Montana,,n/a,,,,,,,,,,,,,,,,,,
2032,MT,Montana,0,H4MT01041,(I),Ryan,Zinke,Zinke; Ryan,,R,144660,100.00%,,,285358,56.19%,,,,,W,
2033,MT,Montana,0,n/a,,,Scattered,Scattered,,W(R),2,0.00%,,,,,,,,,,
2034,MT,Montana,0,n/a,,,,,Party Votes:,R,144662,,,,,,,,,,,
2035,MT,Montana,0,H6MT01095,,Denise,Juneau,Juneau; Denise,,D,112821,100.00%,,,205919,40.55%,,,,,,
2036,MT,Montana,0,n/a,,,,,Party Votes:,D,112821,,,,,,,,,,,
2037,MT,Montana,0,H6MT00097,,Rick,Breckenridge,Breckenridge; Rick  #,,LIB,,,,,16554,3.26%,,,,,,#  Rick Breckenridge was selected by the party to fill the vacancy on the general election ballot after the death of Mike Fellows.
2038,MT,Montana,0,H8MT01141,,Mike,Fellows,Fellows; Mike  #,,LIB,Unopposed,,,,,,,,,,,#  Rick Breckenridge was selected by the party to fill the vacancy on the general election ballot after the death of Mike Fellows.
2039,MT,Montana,0,n/a,,,,,District Votes:,,257483,,,,507831,,,,,,,
2040,MT,Montana,0,n/a,,,,,,,,,,,,,,,,,,
2041,MT,Montana,H,n/a,,,,,Total State Votes:,,257483,,,,507831,,,,,,,
2042,,,,n/a,,,,,,,,,,,,,,,,,,
2043,NE,Nebraska,,n/a,,,,,,,,,,,,,,,,,,
2044,NE,Nebraska,1,H4NE01064,,Jeff,Fortenberry,Fortenberry; Jeff,,R,62704,100.00%,,,189771,69.45%,,,,,W,
2045,NE,Nebraska,1,n/a,,,,,Party Votes:,R,62704,,,,,,,,,,,
2046,NE,Nebraska,1,H6NE01119,(I),Daniel M.,Wik,Wik; Daniel M.,,D,25762,100.00%,,,83467,30.55%,,,,,,
2047,NE,Nebraska,1,n/a,,,,,Party Votes:,D,25762,,,,,,,,,,,
2048,NE,Nebraska,1,n/a,,,,,District Votes:,,88466,,,,273238,,,,,,,
2049,NE,Nebraska,1,n/a,,,,,,,,,,,,,,,,,,
2050,NE,Nebraska,2,H6NE02125,,Don,Bacon,Bacon; Don,,R,32328,65.97%,,,141066,48.93%,,,,,W,
2051,NE,Nebraska,2,H4NE02120,,Chip,Maxwell,Maxwell; Chip,,R,16677,34.03%,,,,,,,,,,
2052,NE,Nebraska,2,n/a,,,,,Party Votes:,R,49005,,,,,,,,,,,
2053,NE,Nebraska,2,H4NE02054,(I),Brad,Ashford,Ashford; Brad,,D,23470,100.00%,,,137602,47.73%,,,,,,
2054,NE,Nebraska,2,n/a,,,,,Party Votes:,D,23470,,,,,,,,,,,
2055,NE,Nebraska,2,H8NE02204,,Steven,Laird,Laird; Steven,,LIB,108,46.15%,,,9640,3.34%,,,,,,
2056,NE,Nebraska,2,H4NE02104,,Andy,Shambaugh,Shambaugh; Andy,,LIB,89,38.03%,,,,,,,,,,
2057,NE,Nebraska,2,H6NE02158,,Jeffrey Lynn,Stein,Stein; Jeffrey Lynn,,LIB,37,15.81%,,,,,,,,,,
2058,NE,Nebraska,2,n/a,,,,,Party Votes:,LIB,234,,,,,,,,,,,
2059,NE,Nebraska,2,n/a,,,,,District Votes:,,72709,,,,288308,,,,,,,
2060,NE,Nebraska,2,n/a,,,,,,,,,,,,,,,,,,
2061,NE,Nebraska,3,H6NE03115,(I),Adrian,Smith,Smith; Adrian,,R,78154,100.00%,,,226720,100.00%,,,,,W,
2062,NE,Nebraska,3,n/a,,,,,Party Votes:,R,78154,,,,,,,,,,,
2063,NE,Nebraska,3,n/a,,,,,District Votes:,,78154,,,,226720,,,,,,,
2064,NE,Nebraska,3,n/a,,,,,,,,,,,,,,,,,,
2065,NE,Nebraska,H,n/a,,,,,Total State Votes:,,239329,,,,788266,,,,,,,
2066,,,,n/a,,,,,,,,,,,,,,,,,,
2067,NV,Nevada,,n/a,,,,,,,,,,,,,,,,,,
2068,NV,Nevada,,n/a,,,,,,,,,,,,,,,,,,
2069,NV,Nevada,1,H8NV03036,(I),Dina,Titus,Titus; Dina,,D,15556,82.37%,,,116537,61.87%,,,,,W,
2070,NV,Nevada,1,H6NV01281,,Jose A.,Solorio,Solorio; Jose A.,,D,1775,9.40%,,,,,,,,,,
2071,NV,Nevada,1,H6NV01216,,Patrick,Boylan,Boylan; Patrick,,D,1554,8.23%,,,,,,,,,,
2072,NV,Nevada,1,n/a,,,,,Party Votes:,D,18885,,,,,,,,,,,
2073,NV,Nevada,1,H6NV01208,,Mary,Perry,Perry; Mary,,R,2588,25.05%,,,54174,28.76%,,,,,,
2074,NV,Nevada,1,H6NV01257,,Stephanie ,Carlisle,Carlisle; Stephanie ,,R,2563,24.80%,,,,,,,,,,
2075,NV,Nevada,1,H6NV01224,,Fred,Horne,Horne; Fred,,R,1911,18.49%,,,,,,,,,,
2076,NV,Nevada,1,H6NV01273,,Jeff,Miller,Miller; Jeff,,R,1459,14.12%,,,,,,,,,,
2077,NV,Nevada,1,H6NV01265,,"Gary ""Coach""",Johnston,"Johnston; Gary ""Coach""",,R,1144,11.07%,,,,,,,,,,
2078,NV,Nevada,1,H6NV01240,,"Louis ""Blulaker""",Baker,"Baker; Louis ""Blulaker""",,R,668,6.46%,,,,,,,,,,
2079,NV,Nevada,1,n/a,,,,,Party Votes:,R,10333,,,,,,,,,,,
2080,NV,Nevada,1,H6NV01232,,Reuben,D'Silva,D'Silva; Reuben,,NPY,,,,,13897,7.38%,,,,,,
2081,NV,Nevada,1,H4NV01187,,Kamau A. ,Bakari,Bakari; Kamau A. ,,IAP,,,,,3744,1.99%,,,,,,
2082,NV,Nevada,1,n/a,,,,,District Votes:,,29218,,,,188352,,,,,,,
2083,NV,Nevada,1,n/a,,,,,,,,,,,,,,,,,,
2084,NV,Nevada,2,H2NV02395,(I),Mark E.,Amodei,Amodei; Mark E.,,R,Unopposed,,,,182676,58.30%,,,,,W,
2085,NV,Nevada,2,H6NV02248,,"H. D. ""Chip""",Evans,"Evans; H. D. ""Chip""",,D,11333,45.12%,,,115722,36.93%,,,,,,
